
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1973,NFL,Chicago Bears,3,11,0,,195,334,-139,Gibron,Douglass,Douglass,Garrett,Thomas,24,26,20,17,22,23,23,26,-9.9,1.1,-8.8,-4.4,-4.4
1972,NFL,Chicago Bears,4,9,1,,225,275,-50,Gibron,Douglass,Douglass,Douglass,Farmer,21,23,15,13,12,19,20,26,-3.6,2.2,-1.3,-2.8,1.5
1971,NFL,Chicago Bears,6,8,0,,185,276,-91,Dooley,Butkus,Douglass,Shy,Farmer,25,24,12,23,16,24,25,26,-6.5,3.1,-3.4,-4.4,1.1
1970,NFL,Chicago Bears,6,8,0,,256,261,-5,Dooley,Gordon,Concannon,Montgomery,Gordon,16,25,10,18,18,15,24,26,-0.4,2.6,2.2,0.4,1.8
1969,NFL,Chicago Bears,1,13,0,,210,339,-129,Dooley,Butkus,Concannon,Sayers,Wallace,16,15,12,5,14,15,11,16,-9.2,3.4,-5.9,-3.2,-2.6
1968,NFL,Chicago Bears,7,7,0,,250,333,-83,Dooley,Seals,Carter,Sayers,Gordon,10,9,12,11,12,12,11,16,-5.9,0.9,-5.0,-1.1,-3.9
1967,NFL,Chicago Bears,7,6,1,,239,218,21,Halas,Petitbon,Concannon,Sayers,Gordon,13,15,4,2,3,6,10,16,1.5,1.5,3.0,-3.6,6.6
1966,NFL,Chicago Bears,5,7,2,,234,272,-38,Halas,Sayers,Bukich,Sayers,Jones,13,12,7,6,6,12,9,15,-2.7,2.5,-0.3,-2.6,2.3
1965,NFL,Chicago Bears,9,5,0,,409,275,134,Halas,Sayers,Bukich,Sayers,Morris,2,3,2,8,2,1,2,14,9.6,5.0,14.6,8.6,5.9
1964,NFL,Chicago Bears,5,9,0,,260,379,-119,Halas,Morris,Wade,Arnett,Morris,10,8,13,13,7,13,13,14,-8.5,3.9,-4.6,-0.8,-3.8
1963,NFL,Chicago Bears*,11,1,2,Won Champ,301,144,157,Halas,Fortunato,Wade,Marconi,Ditka,10,10,1,1,1,3,3,14,11.2,-1.8,9.4,-1.5,10.9
1962,NFL,Chicago Bears,9,5,0,,321,287,34,Halas,Fortunato,Wade,Marconi,Ditka,4,6,5,5,5,4,5,14,2.4,3.6,6.1,2.7,3.4
1961,NFL,Chicago Bears,8,6,0,,326,302,24,Halas,George,Wade,Galimore,Ditka,5,6,9,9,8,6,9,14,1.7,2.5,4.3,2.8,1.5
1960,NFL,Chicago Bears,5,6,1,,194,299,-105,Halas,George,Brown,Casares,Dewveall,11,8,11,2,12,11,5,13,-8.8,0.8,-8.0,-4.9,-3.0
1959,NFL,Chicago Bears,8,4,0,,252,196,56,Halas,,Brown,Casares,Dooley,7,8,2,5,4,3,8,12,4.7,0.8,5.4,-0.8,6.2
1958,NFL,Chicago Bears,8,4,0,,298,230,68,Halas,,Brown,Casares,McColl,4,9,4,1,7,3,4,12,5.7,0.2,5.9,1.1,4.8
1957,NFL,Chicago Bears,5,7,0,,203,211,-8,Driscoll,,Brown,Casares,Dooley,9,8,3,3,12,8,6,12,-0.7,0.1,-0.6,-4.9,4.3
1956,NFL,Chicago Bears*,9,2,1,Lost Champ,363,246,117,Driscoll,,Brown,Casares,Hill,1,1,7,8,2,1,1,12,9.8,0.3,10.0,8.7,1.3
1955,NFL,Chicago Bears,8,4,0,,294,251,43,Halas,,Brown,Casares,Hill,2,1,7,12,9,3,4,12,3.6,-3.6,-0.0,2.3,-2.3
1954,NFL,Chicago Bears,8,4,0,,301,279,22,Halas,,Blanda,Jagade,Hill,5,4,8,7,9,7,7,12,1.8,2.9,4.7,5.2,-0.5
