
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1969,NFL,New York Giants,6,8,0,,264,298,-34,Webster,Tarkenton,Tarkenton,Morrison,Jones,13,6,8,8,5,10,6,16,-2.4,-2.0,-4.5,-3.8,-0.7
1968,NFL,New York Giants,7,7,0,,294,325,-31,Sherman,Tarkenton,Tarkenton,Frederickson,Jones,7,5,10,10,3,9,8,16,-2.2,-0.1,-2.4,0.0,-2.4
1967,NFL,New York Giants,7,7,0,,369,379,-10,Sherman,Tarkenton,Tarkenton,Koy,Jones,3,3,13,11,7,9,5,16,-0.7,-0.9,-1.6,4.3,-5.9
1966,NFL,New York Giants,1,12,1,,263,501,-238,Sherman,Jones,Wood,Mercein,Jones,12,9,15,14,15,15,14,15,-17.0,0.2,-16.8,-3.0,-13.7
1965,NFL,New York Giants,7,7,0,,270,338,-68,Sherman,Morrall,Morrall,Frederickson,Jones,10,9,10,14,4,13,13,14,-4.9,-5.4,-10.3,-6.8,-3.5
1964,NFL,New York Giants,2,10,2,,241,399,-158,Sherman,Barnes,Tittle,Wheelwright,Thomas,13,13,14,11,13,14,14,14,-11.3,-1.3,-12.6,-5.4,-7.2
1963,NFL,New York Giants*,11,3,0,Lost Champ,448,280,168,Sherman,Tittle,Tittle,King,Shofner,1,1,5,3,2,1,1,14,12.0,-2.1,9.9,8.9,1.1
1962,NFL,New York Giants*,12,2,0,Lost Champ,398,283,115,Sherman,Tittle,Tittle,Webster,Shofner,2,1,4,6,5,3,4,14,8.2,-3.8,4.4,4.0,0.5
1961,NFL,New York Giants*,10,3,1,Lost Champ,368,220,148,Sherman,Barnes,Tittle,Webster,Shofner,2,5,1,4,2,2,4,14,10.6,-3.1,7.5,3.4,4.1
1960,NFL,New York Giants,6,4,2,,271,261,10,Howell,Patton,Shaw,Triplett,Rote,6,7,8,3,11,7,3,13,0.8,1.1,1.9,1.6,0.3
1959,NFL,New York Giants*,10,2,0,Lost Champ,284,170,114,Howell,,Conerly,Gifford,Gifford,2,3,1,1,5,2,1,12,9.5,-3.4,6.1,0.1,6.0
1958,NFL,New York Giants*,9,3,0,Lost Champ,246,183,63,Howell,,Conerly,Gifford,Schnelker,9,10,1,4,2,5,7,12,5.3,-1.1,4.1,-2.9,7.0
1957,NFL,New York Giants,7,5,0,,254,211,43,Howell,,Conerly,Gifford,Gifford,5,4,3,4,7,3,3,12,3.6,-1.4,2.2,1.4,0.8
1956,NFL,New York Giants*,8,3,1,Won Champ,264,197,67,Howell,,Conerly,Gifford,Gifford,5,7,4,1,3,3,3,12,5.6,-1.4,4.2,2.7,1.4
1955,NFL,New York Giants,6,5,1,,267,223,44,Howell,,Conerly,Webster,Rote,3,10,3,5,3,2,9,12,3.7,2.2,5.8,2.9,3.0
1954,NFL,New York Giants,7,5,0,,293,184,109,Howell,,Conerly,Price,Rote,6,6,2,3,1,3,6,12,9.1,-5.0,4.1,-0.1,4.2
1953,NFL,New York Giants,3,9,0,,179,277,-98,Owen,,Conerly,Grandelius,Rote,12,11,9,8,10,9,10,12,-8.2,2.6,-5.5,-5.2,-0.3
1952,NFL,New York Giants,7,5,0,,234,231,3,Owen,,Conerly,Price,McChesney,10,10,5,8,2,6,9,12,0.3,-1.1,-0.8,-2.9,2.1
1951,NFL,New York Giants,9,2,1,,254,161,93,Owen,,Conerly,Price,Scott,6,12,2,1,2,3,7,12,7.8,-2.0,5.7,-1.6,7.3
1950,NFL,New York Giants*,10,2,0,Lost Div,268,150,118,Owen,,Conerly,Price,McChesney,6,11,3,2,1,3,5,13,9.8,0.5,10.3,0.3,10.0
1949,NFL,New York Giants,6,6,0,,287,298,-11,Owen,,Conerly,Roberts,Roberts,5,8,6,6,3,6,8,10,-0.9,,,,
1948,NFL,New York Giants,4,8,0,,297,388,-91,Owen,,Conerly,Roberts,Swiacki,5,6,9,9,2,7,8,10,-7.6,,,,
1947,NFL,New York Giants,2,8,2,,190,309,-119,Owen,,Governali,Roberts,Poole,9,9,9,5,6,10,8,10,-9.9,,,,
1946,NFL,New York Giants*,7,3,1,Lost Champ,236,162,74,Owen,,Filchock,Filchock,Liebel,4,5,3,7,3,2,7,10,6.7,,,,
1945,NFL,New York Giants,3,6,1,,179,198,-19,Owen,,Herber,Paschal,Liebel,7,7,6,9,3,6,8,10,-1.9,,,,
1944,NFL,New York Giants*,8,1,1,Lost Champ,206,75,131,Owen,,Herber,Paschal,Adams,5,7,1,3,1,2,5,11,13.1,,,,
1943,NFL,New York Giants*,6,3,1,Lost Div,197,170,27,Owen,,Nix,Paschal,Walls,5,5,3,5,2,4,5,10,2.7,,,,
