
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1957,NFL,Washington Redskins,5,6,1,,251,230,21,Kuharich,,LeBaron,Bosseler,Carson,6,7,5,7,8,5,8,12,1.8,-0.3,1.4,2.3,-0.9
1956,NFL,Washington Redskins,6,6,0,,183,225,-42,Kuharich,,Dorow,Elter,Carson,10,11,6,4,8,8,9,12,-3.5,-0.2,-3.7,-3.7,-0.1
1955,NFL,Washington Redskins,8,4,0,,246,222,24,Kuharich,,LeBaron,Janowicz,Carson,7,11,2,3,7,5,5,12,2.0,2.3,4.3,1.0,3.3
1954,NFL,Washington Redskins,3,9,0,,207,432,-225,Kuharich,,Dorow,Wells,Taylor,10,11,12,12,12,12,12,12,-18.8,-0.9,-19.7,-3.6,-16.1
1953,NFL,Washington Redskins,6,5,1,,208,215,-7,Lambeau,,LeBaron,Justice,Taylor,8,8,3,7,8,6,7,12,-0.6,-0.4,-1.0,-4.3,3.2
1952,NFL,Washington Redskins,4,8,0,,240,287,-47,Lambeau,,LeBaron,Heath,Taylor,9,6,9,7,9,9,7,12,-3.9,1.1,-2.8,-0.8,-2.0
1951,NFL,Washington Redskins,5,7,0,,183,296,-113,ToddBall,,Baugh,Goode,Taylor,11,9,10,10,11,10,10,12,-9.4,1.6,-7.8,-5.1,-2.7
1950,NFL,Washington Redskins,3,9,0,,232,326,-94,Ball,,Baugh,Goode,Taylor,10,7,10,8,12,11,9,13,-7.8,0.6,-7.2,-1.2,-6.0
1949,NFL,Washington Redskins,4,7,1,,268,339,-71,WhelchelBall,,Baugh,Goode,Taylor,6,4,9,10,9,8,6,10,-5.9,,,,
1948,NFL,Washington Redskins,7,5,0,,291,287,4,Edwards,,Baugh,Castiglia,Crisler,6,4,6,6,6,5,5,10,0.3,,,,
