
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1961,NFL,Green Bay Packers*,11,3,0,Won Champ,391,223,168,Lombardi,Taylor,Starr,Taylor,McGee,1,4,2,6,1,1,3,14,12.0,1.6,13.6,7.1,6.5
1960,NFL,Green Bay Packers*,8,4,0,Lost Champ,332,209,123,Lombardi,Hornung,Starr,Taylor,McGee,2,4,2,7,3,2,4,13,10.3,-2.8,7.5,5.5,2.0
1959,NFL,Green Bay Packers,7,5,0,,248,246,2,Lombardi,,Starr,Hornung,McGee,8,6,6,3,8,7,6,12,0.2,1.4,1.6,-0.0,1.6
1958,NFL,Green Bay Packers,1,10,1,,193,382,-189,McLean,,Parilli,Hornung,McGee,12,11,12,11,10,12,12,12,-15.8,2.8,-13.0,-5.5,-7.4
1957,NFL,Green Bay Packers,3,9,0,,218,311,-93,Blackbourn,,Starr,McIlhenny,Howton,8,9,12,11,5,11,12,12,-7.8,1.6,-6.2,-0.9,-5.3
1956,NFL,Green Bay Packers,4,8,0,,264,342,-78,Blackbourn,,Rote,Rote,Howton,5,5,12,12,7,12,12,12,-6.5,2.1,-4.4,2.0,-6.4
1955,NFL,Green Bay Packers,6,6,0,,258,276,-18,Blackbourn,,Rote,Ferguson,Howton,5,7,10,6,4,7,8,12,-1.5,-2.3,-3.8,-0.6,-3.2
1954,NFL,Green Bay Packers,4,8,0,,234,251,-17,Blackbourn,,Rote,Reid,Howton,8,8,5,10,6,8,8,12,-1.4,3.3,1.9,-0.9,2.8
1953,NFL,Green Bay Packers,2,9,1,,200,338,-138,RonzaniMcLeanDevore,,Rote,Reid,Howton,9,9,11,9,7,10,9,12,-11.5,1.7,-9.8,-4.4,-5.4
1952,NFL,Green Bay Packers,6,6,0,,295,312,-17,Ronzani,,Parilli,Rote,Howton,5,5,10,5,12,7,5,12,-1.4,-0.9,-2.3,1.4,-3.7
1951,NFL,Green Bay Packers,3,9,0,,254,375,-121,Ronzani,,Rote,Rote,Mann,6,6,11,11,10,11,11,12,-10.1,0.0,-10.1,-1.5,-8.5
1950,NFL,Green Bay Packers,3,9,0,,244,406,-162,Ronzani,,Rote,Grimes,Baldwin,8,13,12,11,11,12,12,13,-13.5,-4.7,-18.2,-6.9,-11.3
1949,NFL,Green Bay Packers,2,10,0,,114,329,-215,Lambeau,,Girard,Canadeo,Cook,10,9,8,7,8,9,9,10,-17.9,,,,
1948,NFL,Green Bay Packers,3,9,0,,154,290,-136,Lambeau,,Jacobs,Canadeo,Goodnight,10,9,7,5,7,8,7,10,-11.3,,,,
1947,NFL,Green Bay Packers,6,5,1,,274,210,64,Lambeau,,Jacobs,Canadeo,Luhn,5,4,1,1,1,4,3,10,5.3,,,,
1946,NFL,Green Bay Packers,6,5,0,,148,158,-10,Lambeau,,Comp,Canadeo,Goodnight,8,8,2,4,1,7,6,10,-0.9,,,,
1945,NFL,Green Bay Packers,6,4,0,,258,173,85,Lambeau,,Comp,Fritsch,Hutson,2,5,4,10,1,4,6,10,8.5,,,,
1944,NFL,Green Bay Packers*,8,2,0,Won Champ,238,141,97,Lambeau,,Comp,Fritsch,Hutson,3,2,3,4,2,3,3,11,9.7,,,,
1943,NFL,Green Bay Packers,7,2,1,,264,172,92,Lambeau,,Canadeo,Canadeo,Hutson,2,2,4,4,1,2,2,10,9.2,,,,
1942,NFL,Green Bay Packers,8,2,1,,300,215,85,Lambeau,,Isbell,Fritsch,Hutson,2,2,8,8,1,3,3,10,7.7,,,,
1941,NFL,Green Bay Packers*,10,1,0,Lost Div,258,120,138,Lambeau,,Isbell,Hinkle,Hutson,2,2,2,5,1,2,2,10,12.5,,,,
