
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1963,NFL,Philadelphia Eagles,2,10,2,,242,381,-139,Skorich,Brown,Jurgensen,Brown,Retzlaff,12,12,11,10,13,12,11,14,-9.9,1.6,-8.4,-4.6,-3.8
1962,NFL,Philadelphia Eagles,3,10,1,,282,356,-74,Skorich,Brown,Jurgensen,Brown,McDonald,11,7,9,11,11,11,10,14,-5.3,-2.4,-7.7,-4.4,-3.3
1961,NFL,Philadelphia Eagles,10,4,0,,361,297,64,Skorich,Jurgensen,Jurgensen,Peaks,McDonald,3,1,8,13,12,4,7,14,4.6,-2.6,1.9,3.8,-1.8
1960,NFL,Philadelphia Eagles*,10,2,0,Won Champ,321,246,75,Shaw,Van Brocklin,Van Brocklin,Peaks,Retzlaff,3,6,7,9,2,3,8,13,6.3,0.4,6.7,5.6,1.1
1959,NFL,Philadelphia Eagles,7,5,0,,268,278,-10,Shaw,,Van Brocklin,Barnes,McDonald,4,5,9,9,2,8,7,12,-0.8,-1.8,-2.6,0.4,-3.0
1958,NFL,Philadelphia Eagles,2,9,1,,235,306,-71,Shaw,,Van Brocklin,Barnes,Retzlaff,10,7,9,9,11,10,8,12,-5.9,-1.8,-7.7,-3.3,-4.5
1957,NFL,Philadelphia Eagles,4,8,0,,173,230,-57,Devore,,Thomason,Barnes,Walston,11,12,5,8,9,10,11,12,-4.8,0.6,-4.2,-5.0,0.9
1956,NFL,Philadelphia Eagles,3,8,1,,143,215,-72,Devore,,Thomason,Keller,Walston,12,12,5,5,11,11,11,12,-6.0,-0.5,-6.5,-7.7,1.2
1955,NFL,Philadelphia Eagles,4,7,1,,248,231,17,Trimble,,Burk,Giancanelli,Pihos,6,5,4,4,10,6,3,12,1.4,3.2,4.6,1.3,3.3
1954,NFL,Philadelphia Eagles,7,4,1,,284,230,54,Trimble,,Burk,Parmer,Pihos,7,7,4,2,7,5,2,12,4.5,-2.9,1.6,0.5,1.2
1953,NFL,Philadelphia Eagles,7,4,1,,352,215,137,Trimble,,Thomason,Johnson,Pihos,3,1,3,1,9,2,1,12,11.4,-1.0,10.4,8.0,2.3
