
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1959,NFL,Pittsburgh Steelers,6,5,1,,257,216,41,Parker,,Layne,Tracy,Orr,5,7,4,2,7,5,4,12,3.4,-2.3,1.1,-0.7,1.9
1958,NFL,Pittsburgh Steelers,7,4,1,,261,230,31,Parker,,Layne,Tracy,Orr,5,3,4,3,6,6,2,12,2.6,-1.7,0.9,-1.2,2.1
1957,NFL,Pittsburgh Steelers,6,6,0,,161,178,-17,Parker,,Morrall,Wells,McClairen,12,11,2,1,1,9,7,12,-1.4,-0.3,-1.7,-7.0,5.3
1956,NFL,Pittsburgh Steelers,5,7,0,,217,250,-33,Kiesling,,Marchibroda,Rogel,Mathews,9,10,8,3,3,7,7,12,-2.8,-0.2,-2.9,-0.3,-2.6
1955,NFL,Pittsburgh Steelers,4,8,0,,195,285,-90,Kiesling,,Finks,Rogel,Mathews,12,6,11,2,12,12,2,12,-7.5,4.0,-3.5,-2.5,-1.0
1954,NFL,Pittsburgh Steelers,5,7,0,,219,263,-44,Kiesling,,Finks,Rogel,Mathews,9,9,7,11,4,9,9,12,-3.7,-2.3,-6.0,-5.1,-0.9
1953,NFL,Pittsburgh Steelers,6,6,0,,211,263,-52,Bach,,Finks,Rogel,Nickel,7,7,8,2,6,8,6,12,-4.3,0.8,-3.5,-3.0,-0.5
1952,NFL,Pittsburgh Steelers,5,7,0,,300,273,27,Bach,,Finks,Mathews,Nickel,4,6,8,11,4,5,11,12,2.3,1.9,4.1,5.0,-0.9
1951,NFL,Pittsburgh Steelers,4,7,1,,183,235,-52,Michelosen,,Ortmann,Rogel,Minarik,11,11,4,4,4,8,9,12,-4.3,0.2,-4.1,-5.9,1.7
1950,NFL,Pittsburgh Steelers,6,6,0,,180,195,-15,Michelosen,,Geri,Geri,Nickel,13,12,4,4,13,8,7,13,-1.3,2.2,1.0,-5.9,6.9
1949,NFL,Pittsburgh Steelers,6,5,1,,224,214,10,Michelosen,,Geri,Nuzum,Nickel,8,6,2,5,4,5,5,10,0.8,,,,
1948,NFL,Pittsburgh Steelers,4,8,0,,200,243,-43,Michelosen,,Evans,Cifers,Jansante,7,8,4,3,10,6,6,10,-3.6,,,,
1947,NFL,Pittsburgh Steelers*,8,4,0,Lost Div,240,259,-19,Sutherland,,Clement,Clement,Jansante,7,8,7,2,6,6,7,10,-1.6,,,,
1946,NFL,Pittsburgh Steelers,5,5,1,,136,117,19,Sutherland,,Dudley,Dudley,Bova,10,9,1,5,4,5,8,10,1.7,,,,
1945,NFL,Pittsburgh Steelers,2,8,0,,79,220,-141,Leonard,,Warren,Warren,Bova,10,10,8,8,8,10,10,10,-14.1,,,,
1942,NFL,Pittsburgh Steelers,7,4,0,,167,119,48,Kiesling,,Dudley,Dudley,Kichefski,4,4,3,3,3,4,4,10,4.4,,,,
1941,NFL,Pittsburgh Steelers,1,9,1,,103,276,-173,KieslingDonelliBell,,Brumbaugh,Riffle,Looney,10,9,10,7,10,10,9,10,-15.7,,,,
1940,NFL,Pittsburgh Steelers,2,7,2,,60,178,-118,Kiesling,,Patterson,Tomasetti,Platukis,10,10,7,4,10,10,10,10,-10.7,,,,
1939,NFL,Pittsburgh Pirates,1,9,1,,114,216,-102,KieslingBlood,,McCullough,Brumbaugh,Boyd,7,8,8,9,10,8,9,10,-9.3,,,,
1938,NFL,Pittsburgh Pirates,2,9,0,,79,169,-90,Blood,,White,White,Davidson,10,7,9,7,10,10,7,10,-8.2,,,,
1937,NFL,Pittsburgh Pirates,4,7,0,,122,145,-23,Blood,,Fiske,Karcis,Davidson,7,7,6,4,6,6,6,10,-2.1,,,,
1936,NFL,Pittsburgh Pirates,6,6,0,,98,187,-89,Bach,,Matesic,Heller,Sortet,6,7,8,9,7,8,9,9,-7.4,,,,
1935,NFL,Pittsburgh Pirates,4,8,0,,100,209,-109,Bach,,Gildea,Heller,Sortet,5,9,9,9,9,8,9,9,-9.1,,,,
1934,NFL,Pittsburgh Pirates,2,10,0,,51,206,-155,DiMeolo,,Heller,Heller,Skladany,10,6,9,10,7,10,9,11,-12.9,,,,
1933,NFL,Pittsburgh Pirates,3,6,2,,67,208,-141,Douds,,Holm,Brovelli,Moss,8,8,10,9,10,10,9,10,-12.8,,,,
