
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2004,NFL,Kansas City Chiefs,7,9,0,,483,435,48,Vermeil,Roaf,Green,Holmes,Gonzalez,2,1,29,31,22,10,5,32,3.0,2.3,5.3,10.0,-4.7
2003,NFL,Kansas City Chiefs*,13,3,0,Lost Div,484,332,152,Vermeil,Holmes,Green,Holmes,Gonzalez,1,2,19,29,1,1,16,32,9.5,-1.2,8.3,9.2,-0.9
2002,NFL,Kansas City Chiefs,8,8,0,,467,399,68,Vermeil,Holmes,Green,Holmes,Kennison,1,4,28,32,3,7,19,32,4.3,1.9,6.1,8.4,-2.3
2001,NFL,Kansas City Chiefs,6,10,0,,320,344,-24,Vermeil,Holmes,Green,Holmes,Gonzalez,16,5,23,23,22,17,6,31,-1.5,0.3,-1.2,-0.2,-1.0
2000,NFL,Kansas City Chiefs,7,9,0,,355,354,1,Cunningham,Grbac,Grbac,Richardson,Alexander,9,8,19,18,11,17,13,31,0.1,0.6,0.6,0.1,0.6
1999,NFL,Kansas City Chiefs,9,7,0,,390,322,68,Cunningham,Hasty,Grbac,Bennett,Gonzalez,8,12,13,14,1,6,10,31,4.3,2.6,6.8,5.5,1.3
1998,NFL,Kansas City Chiefs,7,9,0,,327,363,-36,Schottenheimer,Shields,Gannon,Bennett,Alexander,14,19,22,9,14,16,16,30,-2.3,-0.8,-3.1,-0.7,-2.4
1997,NFL,Kansas City Chiefs*,13,3,0,Lost Div,375,232,143,Schottenheimer,Hasty,Grbac,Hill,Rison,5,14,1,11,3,2,10,30,8.9,-0.5,8.4,1.8,6.6
1996,NFL,Kansas City Chiefs,9,7,0,,297,300,-3,Schottenheimer,Carter,Bono,Allen,Penn,24,22,11,18,11,15,19,30,-0.2,2.0,1.8,-0.7,2.5
1995,NFL,Kansas City Chiefs*,13,3,0,Lost Div,358,241,117,Schottenheimer,Smith,Bono,Allen,Davis,12,14,1,2,1,3,5,30,7.3,0.3,7.6,0.8,6.9
1994,NFL,Kansas City Chiefs*,9,7,0,Lost WC,319,298,21,Schottenheimer,Thomas,Montana,Allen,Davis,14,5,7,12,2,10,6,28,1.3,-0.4,0.9,-1.3,2.1
1993,NFL,Kansas City Chiefs*,11,5,0,Lost Conf,328,291,37,Schottenheimer,Smith,Montana,Allen,Davis,8,16,14,11,5,9,13,28,2.3,0.6,2.9,1.9,1.0
1992,NFL,Kansas City Chiefs*,10,6,0,Lost WC,348,282,66,Schottenheimer,Thomas,Krieg,Word,Davis,7,25,13,5,1,10,12,28,4.1,-0.7,3.4,3.7,-0.2
1991,NFL,Kansas City Chiefs*,10,6,0,Lost Div,322,252,70,Schottenheimer,Thomas,DeBerg,Okoye,Barnett,10,5,7,13,5,6,10,28,4.4,2.0,6.4,1.8,4.5
1990,NFL,Kansas City Chiefs*,11,5,0,Lost WC,369,257,112,Schottenheimer,Thomas,DeBerg,Word,Paige,6,7,5,16,1,4,11,28,7.0,-0.3,6.7,2.7,4.1
1989,NFL,Kansas City Chiefs,8,7,1,,318,286,32,Schottenheimer,Lewis,DeBerg,Okoye,Paige,17,13,8,2,21,12,4,28,2.0,-0.0,2.0,-0.1,2.1
